,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Cluster
78,1.0,49.0,1.0,3.0,2.0,0.0,2.0,0.0,30.0,6.0,1.0,2.0,2536.0,1823.0,713.0,0.703,1468.0,23.0,0.353,0.719,2.0
82,0.0,55.0,0.0,4.0,6.0,1.0,1.0,0.0,45.0,2.0,4.0,3.0,2158.0,0.0,2158.0,0.585,615.0,12.0,0.714,0.0,2.0
83,1.0,59.0,0.0,1.0,2.0,1.0,5.0,0.0,52.0,2.0,3.0,3.0,10133.0,1417.0,8716.0,0.383,1068.0,20.0,0.818,0.14,2.0
87,1.0,43.0,0.0,3.0,5.0,2.0,4.0,0.0,35.0,5.0,2.0,3.0,4026.0,0.0,4026.0,0.483,1237.0,32.0,0.6,0.0,2.0
92,1.0,45.0,1.0,1.0,2.0,2.0,1.0,0.0,36.0,4.0,4.0,3.0,6576.0,0.0,6576.0,0.579,1465.0,34.0,0.619,0.0,2.0
93,1.0,53.0,1.0,0.0,2.0,2.0,3.0,0.0,42.0,5.0,4.0,1.0,2664.0,2037.0,627.0,0.85,1286.0,29.0,0.933,0.765,2.0
96,1.0,45.0,1.0,3.0,2.0,1.0,1.0,0.0,35.0,5.0,4.0,2.0,3454.0,1200.0,2254.0,0.597,1313.0,30.0,0.304,0.347,2.0
97,1.0,53.0,1.0,3.0,1.0,1.0,1.0,0.0,35.0,5.0,3.0,2.0,3789.0,1706.0,2083.0,1.047,1609.0,42.0,0.68,0.45,2.0
99,0.0,47.0,1.0,2.0,6.0,1.0,3.0,0.0,37.0,2.0,3.0,3.0,5449.0,1628.0,3821.0,0.696,836.0,18.0,0.385,0.299,2.0
102,1.0,53.0,1.0,3.0,2.0,1.0,0.0,0.0,34.0,6.0,2.0,2.0,2940.0,1264.0,1676.0,0.562,1259.0,33.0,0.5,0.43,2.0
105,1.0,43.0,0.0,4.0,4.0,1.0,4.0,0.0,33.0,2.0,3.0,3.0,8358.0,926.0,7432.0,0.762,1566.0,37.0,0.542,0.111,2.0
112,1.0,42.0,1.0,4.0,3.0,0.0,2.0,0.0,36.0,5.0,1.0,2.0,3263.0,1674.0,1589.0,0.588,1251.0,35.0,0.346,0.513,2.0
119,1.0,53.0,0.0,2.0,3.0,1.0,4.0,0.0,44.0,3.0,2.0,3.0,5362.0,1901.0,3461.0,0.816,1553.0,38.0,1.0,0.355,2.0
123,1.0,47.0,0.0,3.0,3.0,2.0,1.0,0.0,41.0,4.0,3.0,3.0,3788.0,1540.0,2248.0,0.566,1594.0,47.0,0.382,0.407,0.0
125,1.0,47.0,1.0,3.0,2.0,2.0,2.0,0.0,36.0,4.0,2.0,2.0,2926.0,0.0,2926.0,0.676,1304.0,24.0,0.846,0.0,2.0
127,0.0,53.0,1.0,2.0,2.0,1.0,3.0,0.0,41.0,3.0,3.0,2.0,11669.0,2227.0,9442.0,0.622,720.0,23.0,0.353,0.191,2.0
129,1.0,50.0,0.0,1.0,5.0,3.0,4.0,3.0,36.0,4.0,2.0,2.0,11888.0,2090.0,9798.0,0.7,1137.0,30.0,0.765,0.176,2.0
130,1.0,42.0,0.0,1.0,2.0,1.0,4.0,0.0,36.0,5.0,1.0,2.0,2393.0,1985.0,408.0,0.788,978.0,16.0,0.778,0.83,0.0
134,1.0,47.0,1.0,2.0,1.0,2.0,4.0,0.0,37.0,2.0,1.0,3.0,3235.0,797.0,2438.0,0.541,1493.0,32.0,1.0,0.246,2.0
136,1.0,53.0,1.0,2.0,3.0,0.0,2.0,0.0,36.0,5.0,3.0,2.0,7753.0,2100.0,5653.0,0.839,991.0,26.0,0.733,0.271,2.0
139,1.0,39.0,0.0,2.0,4.0,2.0,4.0,0.0,27.0,4.0,2.0,2.0,6205.0,2517.0,3688.0,0.939,1204.0,19.0,0.727,0.406,2.0
140,0.0,48.0,0.0,5.0,3.0,1.0,4.0,0.0,38.0,1.0,3.0,3.0,8025.0,0.0,8025.0,0.654,673.0,18.0,0.8,0.0,2.0
141,1.0,51.0,1.0,1.0,6.0,2.0,0.0,0.0,42.0,6.0,2.0,3.0,9036.0,2327.0,6709.0,0.649,1131.0,18.0,0.636,0.258,2.0
143,1.0,59.0,0.0,1.0,2.0,2.0,4.0,0.0,36.0,3.0,2.0,3.0,6335.0,1128.0,5207.0,0.397,1217.0,20.0,0.667,0.178,0.0
144,0.0,59.0,1.0,1.0,0.0,2.0,2.0,0.0,53.0,2.0,3.0,3.0,14979.0,0.0,14979.0,0.71,530.0,10.0,1.0,0.0,2.0
145,0.0,48.0,0.0,4.0,5.0,1.0,4.0,0.0,38.0,3.0,2.0,3.0,2732.0,0.0,2732.0,0.76,739.0,16.0,0.455,0.0,2.0
149,1.0,41.0,1.0,2.0,3.0,1.0,3.0,0.0,24.0,4.0,1.0,3.0,9366.0,1104.0,8262.0,0.572,1303.0,39.0,0.625,0.118,2.0
155,1.0,42.0,0.0,5.0,6.0,1.0,1.0,0.0,36.0,3.0,3.0,3.0,2038.0,0.0,2038.0,0.786,1238.0,28.0,0.75,0.0,1.0
157,1.0,49.0,1.0,1.0,1.0,1.0,0.0,0.0,38.0,6.0,1.0,3.0,9364.0,618.0,8746.0,0.554,1099.0,27.0,0.8,0.066,1.0
159,1.0,43.0,0.0,4.0,2.0,0.0,4.0,0.0,34.0,2.0,3.0,1.0,3195.0,1954.0,1241.0,0.971,1285.0,29.0,0.706,0.612,1.0
160,1.0,56.0,1.0,0.0,3.0,1.0,3.0,0.0,43.0,5.0,2.0,1.0,2852.0,1024.0,1828.0,1.009,1651.0,28.0,1.0,0.359,2.0
161,1.0,59.0,0.0,1.0,0.0,2.0,5.0,0.0,36.0,2.0,3.0,3.0,4224.0,1305.0,2919.0,0.852,1152.0,31.0,0.824,0.309,2.0
165,1.0,51.0,0.0,3.0,5.0,1.0,4.0,0.0,43.0,3.0,1.0,2.0,2185.0,1761.0,424.0,0.682,1645.0,30.0,0.429,0.806,2.0
169,1.0,53.0,1.0,3.0,3.0,1.0,2.0,0.0,47.0,5.0,2.0,2.0,1438.3,0.0,1438.3,0.776,2184.0,53.0,0.828,0.0,1.0
171,1.0,52.0,0.0,1.0,3.0,1.0,4.0,0.0,45.0,6.0,3.0,3.0,6703.0,893.0,5810.0,0.567,1388.0,28.0,0.75,0.133,2.0
172,0.0,53.0,1.0,2.0,6.0,1.0,3.0,0.0,36.0,2.0,2.0,1.0,3212.0,0.0,3212.0,0.713,757.0,20.0,0.25,0.0,2.0
174,1.0,41.0,0.0,3.0,3.0,1.0,1.0,0.0,36.0,4.0,1.0,2.0,9797.0,1434.0,8363.0,0.644,1503.0,34.0,0.478,0.146,0.0
175,1.0,45.0,0.0,5.0,2.0,0.0,1.0,0.0,36.0,5.0,2.0,2.0,10400.0,1777.0,8623.0,0.791,1105.0,28.0,0.867,0.171,2.0
179,1.0,59.0,0.0,1.0,5.0,1.0,1.0,0.0,36.0,4.0,2.0,3.0,3356.0,985.0,2371.0,0.35,999.0,28.0,0.556,0.294,0.0
181,1.0,51.0,1.0,3.0,2.0,1.0,3.0,0.0,36.0,6.0,2.0,3.0,11106.0,2107.0,8999.0,0.948,1243.0,24.0,1.0,0.19,2.0
185,1.0,49.0,0.0,3.0,5.0,2.0,5.0,0.0,38.0,6.0,2.0,1.0,12860.0,0.0,12860.0,0.646,1348.0,27.0,0.286,0.0,0.0
188,1.0,50.0,0.0,2.0,3.0,1.0,4.0,0.0,36.0,5.0,1.0,2.0,9355.0,1626.0,7729.0,0.701,1230.0,28.0,0.867,0.174,2.0
192,1.0,57.0,0.0,3.0,2.0,1.0,4.0,0.0,47.0,4.0,2.0,3.0,6347.0,1594.0,4753.0,0.896,1771.0,37.0,0.762,0.251,2.0
194,1.0,51.0,0.0,5.0,4.0,1.0,4.0,0.0,44.0,5.0,1.0,1.0,3449.0,1598.0,1851.0,0.971,1679.0,42.0,0.556,0.463,2.0
195,1.0,47.0,0.0,3.0,3.0,1.0,4.0,0.0,34.0,2.0,1.0,2.0,6028.0,799.0,5229.0,0.819,1002.0,22.0,0.571,0.133,2.0
196,1.0,41.0,1.0,0.0,3.0,3.0,0.0,0.0,36.0,3.0,2.0,3.0,18214.0,1998.0,16216.0,0.829,1344.0,21.0,1.1,0.11,0.0
198,0.0,68.0,1.0,0.0,3.0,1.0,4.0,0.0,52.0,1.0,3.0,2.0,1438.3,900.0,538.3,0.743,760.0,21.0,0.615,0.626,2.0
205,1.0,43.0,0.0,1.0,3.0,0.0,4.0,3.0,35.0,3.0,2.0,2.0,10514.0,1580.0,8934.0,0.504,1229.0,27.0,0.8,0.15,2.0
206,0.0,55.0,0.0,2.0,2.0,1.0,4.0,0.0,43.0,2.0,4.0,3.0,1438.3,0.0,1438.3,0.707,886.0,27.0,0.421,0.0,2.0
207,0.0,59.0,1.0,2.0,4.0,1.0,2.0,0.0,46.0,3.0,3.0,3.0,1438.3,0.0,1438.3,0.688,844.0,24.0,0.5,0.0,1.0
210,1.0,53.0,0.0,2.0,3.0,1.0,4.0,0.0,36.0,4.0,1.0,2.0,2377.0,1649.0,728.0,0.93,1378.0,26.0,1.167,0.694,1.0
212,1.0,52.0,1.0,3.0,2.0,1.0,0.0,0.0,47.0,5.0,3.0,3.0,11086.0,2207.0,8879.0,0.869,1523.0,40.0,1.105,0.199,2.0
213,1.0,48.0,1.0,3.0,3.0,2.0,2.0,0.0,36.0,4.0,2.0,2.0,11432.0,2517.0,8915.0,0.615,1374.0,37.0,0.762,0.22,2.0
215,1.0,48.0,1.0,2.0,0.0,2.0,4.0,0.0,36.0,3.0,2.0,3.0,2571.0,1955.0,616.0,0.531,1234.0,24.0,0.714,0.76,2.0
217,1.0,44.0,1.0,4.0,6.0,1.0,2.0,0.0,30.0,5.0,1.0,2.0,7872.0,2509.0,5363.0,0.971,1155.0,32.0,0.882,0.319,2.0
223,1.0,48.0,0.0,3.0,2.0,0.0,1.0,0.0,39.0,6.0,2.0,3.0,2115.0,1141.0,974.0,0.616,1223.0,20.0,0.538,0.539,2.0
224,1.0,44.0,0.0,2.0,2.0,0.0,4.0,0.0,27.0,5.0,2.0,2.0,1438.3,679.0,759.3,0.859,1117.0,29.0,1.071,0.472,0.0
226,1.0,45.0,1.0,3.0,0.0,2.0,2.0,0.0,32.0,4.0,1.0,2.0,1438.3,0.0,1438.3,0.81,1468.0,26.0,0.625,0.0,1.0
227,1.0,47.0,0.0,2.0,5.0,0.0,4.0,3.0,34.0,6.0,4.0,2.0,13878.0,2222.0,11656.0,0.853,1658.0,38.0,0.357,0.16,0.0
228,1.0,51.0,0.0,2.0,2.0,1.0,4.0,0.0,36.0,3.0,1.0,3.0,3106.0,1304.0,1802.0,0.604,1368.0,38.0,0.407,0.42,0.0
230,0.0,60.0,0.0,1.0,5.0,1.0,1.0,0.0,50.0,4.0,4.0,3.0,1438.3,1025.0,413.3,0.838,702.0,12.0,0.714,0.713,2.0
232,1.0,41.0,1.0,5.0,2.0,2.0,0.0,0.0,29.0,5.0,2.0,2.0,5207.0,1748.0,3459.0,1.073,1310.0,26.0,1.0,0.336,2.0
233,1.0,44.0,1.0,3.0,4.0,0.0,3.0,0.0,36.0,6.0,2.0,2.0,17965.0,1644.0,16321.0,0.921,1767.0,50.0,0.923,0.092,2.0
234,1.0,43.0,1.0,1.0,0.0,2.0,2.0,0.0,37.0,6.0,3.0,3.0,2733.0,1819.0,914.0,0.767,933.0,25.0,0.923,0.666,2.0
236,0.0,52.0,1.0,1.0,5.0,1.0,3.0,0.0,36.0,2.0,3.0,3.0,1857.0,1833.0,24.0,0.723,829.0,17.0,0.7,0.987,2.0
238,1.0,41.0,1.0,2.0,5.0,1.0,1.0,0.0,30.0,5.0,3.0,3.0,11107.0,1222.0,9885.0,0.538,1506.0,33.0,0.941,0.11,2.0
240,0.0,53.0,0.0,2.0,6.0,1.0,4.0,0.0,33.0,2.0,3.0,3.0,2859.0,2517.0,342.0,0.993,817.0,30.0,0.667,0.88,1.0
241,1.0,39.0,1.0,2.0,3.0,2.0,3.0,0.0,36.0,4.0,2.0,2.0,5269.0,1475.0,3794.0,1.148,2094.0,25.0,0.667,0.28,2.0
242,0.0,49.0,1.0,5.0,0.0,1.0,1.0,0.0,45.0,2.0,2.0,3.0,1438.3,0.0,1438.3,0.734,815.0,21.0,0.615,0.0,0.0
243,0.0,45.0,0.0,2.0,0.0,1.0,4.0,0.0,36.0,1.0,3.0,2.0,3387.0,0.0,3387.0,0.789,510.0,24.0,0.6,0.0,2.0
244,1.0,54.0,1.0,2.0,2.0,1.0,3.0,0.0,46.0,6.0,2.0,3.0,1982.0,1289.0,693.0,0.939,1377.0,49.0,0.69,0.65,2.0
245,1.0,49.0,1.0,3.0,5.0,2.0,3.0,0.0,43.0,2.0,2.0,2.0,4645.0,1650.0,2995.0,0.912,1193.0,33.0,0.65,0.355,2.0
246,1.0,46.0,0.0,3.0,1.0,2.0,5.0,0.0,36.0,6.0,3.0,2.0,2189.0,1666.0,523.0,0.343,1287.0,36.0,0.636,0.761,2.0
247,0.0,46.0,1.0,4.0,3.0,1.0,0.0,0.0,30.0,3.0,3.0,3.0,2442.0,0.0,2442.0,0.98,701.0,19.0,0.727,0.0,2.0
250,1.0,50.0,1.0,3.0,4.0,2.0,0.0,0.0,31.0,4.0,1.0,2.0,3234.0,1486.0,1748.0,0.868,1354.0,28.0,0.647,0.459,2.0
252,1.0,56.0,1.0,3.0,6.0,3.0,1.0,0.0,46.0,6.0,3.0,4.0,2910.0,709.0,2201.0,0.538,1192.0,27.0,0.588,0.244,2.0
253,0.0,59.0,1.0,0.0,3.0,2.0,1.0,0.0,48.0,2.0,4.0,3.0,3616.0,1054.0,2562.0,0.616,687.0,17.0,0.545,0.291,0.0
257,1.0,45.0,1.0,1.0,5.0,2.0,0.0,0.0,39.0,4.0,2.0,2.0,3133.0,1510.0,1623.0,0.609,1435.0,38.0,0.462,0.482,2.0
259,1.0,40.0,1.0,1.0,2.0,1.0,1.0,0.0,23.0,6.0,3.0,2.0,6990.0,1378.0,5612.0,0.73,1479.0,29.0,0.611,0.197,0.0
261,0.0,59.0,0.0,0.0,4.0,1.0,1.0,0.0,40.0,1.0,4.0,1.0,1438.3,0.0,1438.3,1.038,689.0,23.0,0.353,0.0,2.0
265,1.0,51.0,0.0,2.0,2.0,1.0,4.0,0.0,46.0,5.0,2.0,2.0,5207.0,1650.0,3557.0,0.708,1339.0,20.0,0.538,0.317,2.0
268,0.0,64.0,0.0,0.0,3.0,1.0,1.0,0.0,53.0,1.0,3.0,3.0,3353.0,0.0,3353.0,1.021,960.0,18.0,0.385,0.0,0.0
270,1.0,48.0,1.0,3.0,6.0,2.0,1.0,0.0,43.0,6.0,1.0,3.0,5279.0,1115.0,4164.0,0.549,1642.0,41.0,0.519,0.211,2.0
272,1.0,57.0,1.0,0.0,5.0,1.0,1.0,0.0,45.0,6.0,2.0,2.0,2601.0,0.0,2601.0,0.814,1232.0,32.0,0.684,0.0,1.0
274,1.0,41.0,1.0,3.0,3.0,2.0,3.0,0.0,36.0,4.0,3.0,3.0,8029.0,1576.0,6453.0,0.826,1094.0,32.0,0.524,0.196,2.0
275,1.0,42.0,0.0,4.0,5.0,1.0,4.0,0.0,31.0,2.0,2.0,2.0,2410.0,1769.0,641.0,0.759,1217.0,30.0,1.143,0.734,0.0
276,0.0,45.0,1.0,2.0,2.0,2.0,2.0,0.0,36.0,1.0,1.0,2.0,3401.0,0.0,3401.0,0.898,744.0,18.0,1.0,0.0,2.0
279,1.0,48.0,0.0,4.0,3.0,1.0,1.0,0.0,42.0,3.0,1.0,3.0,4206.0,1100.0,3106.0,0.587,1144.0,22.0,1.0,0.262,2.0
283,0.0,54.0,0.0,2.0,3.0,1.0,5.0,0.0,44.0,3.0,3.0,1.0,6094.0,0.0,6094.0,1.129,909.0,14.0,0.273,0.0,2.0
287,1.0,45.0,0.0,4.0,2.0,2.0,4.0,0.0,36.0,6.0,3.0,2.0,3342.0,2517.0,825.0,0.771,1139.0,30.0,0.765,0.753,2.0
288,0.0,54.0,0.0,4.0,2.0,1.0,5.0,0.0,40.0,6.0,2.0,2.0,2532.0,2221.0,311.0,0.491,799.0,21.0,0.235,0.877,2.0
289,1.0,54.0,0.0,3.0,1.0,1.0,5.0,0.0,46.0,2.0,2.0,3.0,1900.0,1376.0,524.0,0.89,1881.0,45.0,0.607,0.724,0.0
290,1.0,44.0,1.0,3.0,2.0,2.0,2.0,0.0,37.0,2.0,3.0,2.0,14546.0,1703.0,12843.0,0.955,1273.0,27.0,0.588,0.117,1.0
291,1.0,50.0,0.0,4.0,1.0,2.0,5.0,0.0,36.0,2.0,3.0,2.0,2521.0,1608.0,913.0,0.587,1328.0,33.0,0.571,0.638,2.0
292,1.0,55.0,1.0,2.0,1.0,1.0,2.0,0.0,36.0,3.0,4.0,3.0,16427.0,1682.0,14745.0,0.631,1579.0,36.0,1.118,0.102,0.0
293,1.0,48.0,1.0,2.0,2.0,3.0,1.0,0.0,36.0,5.0,1.0,2.0,13068.0,1718.0,11350.0,0.607,937.0,28.0,0.556,0.131,2.0
296,1.0,55.0,1.0,2.0,3.0,1.0,1.0,0.0,47.0,5.0,3.0,2.0,3096.0,2217.0,879.0,0.799,2011.0,41.0,0.783,0.716,0.0
297,1.0,62.0,0.0,0.0,3.0,1.0,1.0,0.0,52.0,5.0,2.0,3.0,2052.0,1250.0,802.0,0.728,1208.0,31.0,0.632,0.609,2.0
299,1.0,46.0,1.0,3.0,3.0,2.0,1.0,0.0,39.0,2.0,3.0,2.0,9432.0,1418.0,8014.0,0.612,1319.0,26.0,0.368,0.15,0.0
304,1.0,35.0,1.0,3.0,5.0,1.0,2.0,0.0,22.0,5.0,2.0,2.0,6985.0,1130.0,5855.0,0.963,1694.0,44.0,0.76,0.162,2.0
306,1.0,36.0,0.0,3.0,3.0,1.0,5.0,0.0,24.0,4.0,1.0,1.0,15439.0,0.0,15439.0,0.742,2069.0,43.0,0.536,0.0,2.0
308,1.0,52.0,1.0,2.0,2.0,2.0,0.0,0.0,37.0,2.0,3.0,2.0,14543.0,0.0,14543.0,0.788,1536.0,37.0,0.423,0.0,0.0
310,1.0,63.0,1.0,2.0,3.0,1.0,1.0,0.0,36.0,2.0,2.0,2.0,5007.0,930.0,4077.0,0.885,1050.0,28.0,1.154,0.186,2.0
314,0.0,57.0,1.0,3.0,2.0,1.0,0.0,0.0,38.0,2.0,3.0,3.0,8249.0,1381.0,6868.0,0.798,678.0,11.0,0.833,0.167,0.0
316,1.0,53.0,1.0,3.0,3.0,1.0,2.0,0.0,43.0,5.0,3.0,2.0,5264.0,2169.0,3095.0,0.374,1219.0,27.0,0.5,0.412,0.0
325,1.0,34.0,1.0,3.0,3.0,1.0,2.0,0.0,26.0,4.0,3.0,3.0,3265.0,2517.0,748.0,0.952,1843.0,35.0,0.944,0.771,2.0
326,1.0,56.0,1.0,1.0,5.0,1.0,0.0,0.0,36.0,3.0,2.0,2.0,6041.0,1355.0,4686.0,0.685,1747.0,49.0,0.581,0.224,2.0
328,1.0,47.0,1.0,3.0,4.0,3.0,3.0,0.0,36.0,6.0,2.0,2.0,13399.0,2505.0,10894.0,0.627,1326.0,31.0,0.824,0.187,0.0
329,1.0,46.0,0.0,3.0,6.0,1.0,4.0,0.0,38.0,4.0,3.0,3.0,4317.0,2517.0,1800.0,0.944,1619.0,36.0,1.0,0.583,0.0
331,1.0,50.0,0.0,1.0,2.0,2.0,4.0,0.0,36.0,4.0,1.0,3.0,5012.0,2242.0,2770.0,0.816,1142.0,28.0,1.0,0.447,2.0
333,1.0,53.0,0.0,1.0,2.0,2.0,4.0,0.0,45.0,3.0,1.0,2.0,3471.0,1785.0,1686.0,1.051,1052.0,24.0,0.714,0.514,2.0
335,1.0,53.0,1.0,1.0,3.0,1.0,0.0,0.0,36.0,6.0,3.0,2.0,3312.0,1844.0,1468.0,0.986,1740.0,32.0,0.882,0.557,2.0
337,0.0,54.0,1.0,2.0,6.0,1.0,1.0,0.0,44.0,4.0,3.0,2.0,2902.0,2517.0,385.0,0.821,996.0,26.0,0.444,0.867,2.0
339,1.0,62.0,1.0,1.0,3.0,1.0,4.0,0.0,53.0,5.0,3.0,3.0,2077.0,1571.0,506.0,1.031,1365.0,38.0,1.0,0.756,2.0
340,1.0,46.0,0.0,4.0,2.0,2.0,4.0,0.0,40.0,5.0,1.0,2.0,6265.0,1942.0,4323.0,1.027,1715.0,43.0,0.87,0.31,0.0
342,1.0,52.0,1.0,3.0,2.0,2.0,3.0,0.0,42.0,6.0,3.0,3.0,2731.0,1692.0,1039.0,0.62,1220.0,22.0,0.692,0.62,0.0
347,1.0,52.0,1.0,2.0,3.0,2.0,2.0,0.0,45.0,5.0,3.0,2.0,7567.0,1173.0,6394.0,0.541,1435.0,32.0,0.6,0.155,1.0
351,1.0,40.0,0.0,3.0,3.0,0.0,4.0,0.0,35.0,3.0,1.0,3.0,2555.0,2117.0,438.0,1.049,1334.0,32.0,0.6,0.829,1.0
352,1.0,43.0,1.0,3.0,2.0,1.0,3.0,0.0,26.0,5.0,3.0,2.0,2355.0,1090.0,1265.0,0.751,1441.0,29.0,0.812,0.463,0.0
354,1.0,55.0,1.0,1.0,5.0,2.0,1.0,0.0,49.0,6.0,3.0,2.0,1443.0,1375.0,68.0,0.683,1991.0,38.0,0.583,0.953,2.0
357,1.0,49.0,1.0,3.0,5.0,2.0,2.0,0.0,32.0,3.0,2.0,2.0,18584.0,2517.0,16067.0,0.703,1330.0,34.0,1.125,0.135,0.0
360,1.0,50.0,0.0,1.0,5.0,1.0,4.0,0.0,43.0,6.0,3.0,4.0,1438.3,0.0,1438.3,1.068,1439.0,41.0,1.05,0.0,2.0
363,1.0,50.0,0.0,2.0,2.0,1.0,1.0,0.0,44.0,6.0,2.0,3.0,2339.0,1440.0,899.0,0.431,893.0,22.0,0.375,0.616,2.0
364,1.0,47.0,0.0,2.0,2.0,1.0,4.0,0.0,36.0,6.0,3.0,2.0,2726.0,0.0,2726.0,0.844,1099.0,27.0,0.588,0.0,0.0
365,1.0,43.0,1.0,4.0,6.0,1.0,0.0,0.0,39.0,3.0,3.0,3.0,14881.0,848.0,14033.0,0.762,1408.0,23.0,1.091,0.057,2.0
376,1.0,45.0,1.0,4.0,3.0,1.0,1.0,0.0,34.0,6.0,3.0,3.0,3104.0,1766.0,1338.0,0.828,1353.0,24.0,1.182,0.569,2.0
377,1.0,49.0,1.0,3.0,2.0,1.0,1.0,0.0,41.0,5.0,3.0,2.0,2406.0,1560.0,846.0,0.751,1173.0,32.0,0.391,0.648,0.0
379,1.0,40.0,0.0,3.0,3.0,2.0,4.0,1.0,36.0,3.0,2.0,3.0,15534.0,726.0,14808.0,0.556,1279.0,28.0,0.867,0.047,1.0
381,1.0,37.0,1.0,4.0,2.0,1.0,3.0,0.0,26.0,6.0,2.0,3.0,2846.0,1818.0,1028.0,0.711,1473.0,37.0,1.176,0.639,1.0
